timestamp,url,URL,TIME,ERROR,Final
2021-12-23T14:44:49.126+05:00,TIMEOUT,focus.cn,60.024,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:44:57.263+05:00,LOADTIME,eventbrite.com,4.123,,4.123
2021-12-23T14:45:08.717+05:00,LOADTIME,thepiratebay.org,7.439,,7.439
2021-12-23T14:46:12.050+05:00,LOADTIME,nicovideo.jp,59.306,,59.306
2021-12-23T14:46:23.172+05:00,LOADTIME,marca.com,7.019,,7.019
2021-12-23T14:46:32.852+05:00,LOADTIME,elmogaz.com,5.645,,5.645
2021-12-23T14:46:44.251+05:00,LOADTIME,qoo10.sg,7.363,,7.363
2021-12-23T14:46:49.520+05:00,LOADTIME,shopee.co.id,1.236,,1.236
2021-12-23T14:46:56.781+05:00,LOADTIME,kapanlagi.com,3.233,,3.233
2021-12-23T14:48:01.133+05:00,TIMEOUT,hostgator.com,60.018,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:48:14.911+05:00,LOADTIME,jawapos.com,9.745,,9.745
2021-12-23T14:48:23.463+05:00,LOADTIME,evernote.com,4.436,,4.436
2021-12-23T14:48:33.943+05:00,LOADTIME,op.gg,6.463,,6.463
2021-12-23T14:48:42.213+05:00,LOADTIME,onet.pl,4.191,,4.191
2021-12-23T14:49:46.265+05:00,TIMEOUT,breitbart.com,60.02,ERR_TIMEOUT,ERR_TIMEOUT
2021-12-23T14:49:51.108+05:00,LOADTIME,agacelebir.com,0.72,,0.72
2021-12-23T14:50:01.655+05:00,LOADTIME,cnnindonesia.com,6.529,,6.529
2021-12-23T14:50:14.219+05:00,LOADTIME,oracle.com,8.494,,8.494
2021-12-23T14:50:23.610+05:00,LOADTIME,udn.com,5.359,,5.359
2021-12-23T14:50:34.260+05:00,LOADTIME,clickbank.com,6.543,,6.543
2021-12-23T14:50:43.322+05:00,LOADTIME,wartaekonomi.co.id,5.019,,5.019
2021-12-23T14:50:49.023+05:00,LOADTIME,thestartmagazine.com,1.627,,1.627
2021-12-23T14:50:56.008+05:00,LOADTIME,woocommerce.com,2.96,,2.96
2021-12-23T14:51:03.164+05:00,LOADTIME,dcard.tw,3.134,,3.134
2021-12-23T14:51:08.945+05:00,LOADTIME,google.com.vn,1.709,,1.709
2021-12-23T14:51:34.214+05:00,LOADTIME,bola.com,21.246,,21.246
2021-12-23T14:51:39.889+05:00,LOADTIME,google.com.au,1.58,,1.58
