time,power_consumption.power,,
2021-12-23T22:14:35.225+05:00,0,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:35.727+05:00,0,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:36.230+05:00,0.547641883,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:36.731+05:00,0.277867271,bbc.co.uk,2021-12-23T22:14:30.109+05:00
2021-12-23T22:14:37.233+05:00,0.939293038,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:37.734+05:00,0,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:38.235+05:00,0.367197716,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:38.736+05:00,0.123574898,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:39.238+05:00,0.315906366,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:39.739+05:00,0,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:40.241+05:00,0.579229657,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:40.742+05:00,7.674693262,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:41.245+05:00,0.648701599,LOADTIME|bbc.co.uk|7.081,2021-12-23T22:14:37.190+05:00
2021-12-23T22:14:41.747+05:00,1.329330696,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:42.249+05:00,1.01439409,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:42.752+05:00,1.479390216,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:43.254+05:00,0.894261447,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:43.756+05:00,0.222139982,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:44.257+05:00,4.089400092,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:44.759+05:00,0,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:45.260+05:00,0,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:45.761+05:00,0,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:46.262+05:00,0,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:46.763+05:00,0,momoshop.com.tw,2021-12-23T22:14:41.248+05:00
2021-12-23T22:14:47.265+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
2021-12-23T22:14:47.767+05:00,0,LOADTIME|momoshop.com.tw|5.662,2021-12-23T22:14:46.910+05:00
