time,power_consumption.power,,
2021-12-23T02:39:09.762+05:00,0.139639954,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:10.264+05:00,0.098220229,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:10.767+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:11.269+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:11.772+05:00,0.024416183,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:12.274+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:12.777+05:00,0.026619036,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:13.281+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:13.782+05:00,1.078384023,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:14.284+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:14.787+05:00,5.927487997,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:15.289+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:15.791+05:00,0.065746273,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:16.293+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:16.795+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:17.297+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:17.799+05:00,0.028726783,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:18.302+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:18.805+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:19.307+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:19.810+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:20.313+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:20.814+05:00,0.040264836,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:21.315+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:21.817+05:00,0.053531488,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:22.319+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:22.820+05:00,0.155458816,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:23.322+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:23.825+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:24.335+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:24.838+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:25.341+05:00,0.0386399,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:25.844+05:00,0.019637048,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:26.347+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:26.849+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:27.352+05:00,0.001046338,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:27.855+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:28.358+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:28.861+05:00,0.021263049,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:29.363+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:29.866+05:00,0.022543786,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:30.368+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:30.870+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:31.373+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:31.875+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:32.378+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:32.881+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:33.384+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:33.888+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:34.391+05:00,0,crunchyroll.com,2021-12-23T02:38:59.768+05:00
2021-12-23T02:39:34.894+05:00,0.118867187,crunchyroll.com,2021-12-23T02:38:59.768+05:00
