time,power_consumption.power,,
2021-12-23T02:28:13.952+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:14.454+05:00,4.012644464,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:14.957+05:00,3.766985672,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:15.460+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:15.963+05:00,0.017079015,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:16.465+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:16.967+05:00,0.071622673,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:17.476+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:17.978+05:00,0.01419744,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:18.481+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:18.985+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:19.488+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:19.992+05:00,0.076168335,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:20.495+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:20.998+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:21.502+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:22.005+05:00,0.022053668,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:22.508+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:23.009+05:00,0.019688186,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:23.512+05:00,0,huaban.com,2021-12-23T02:27:48.404+05:00
2021-12-23T02:28:24.015+05:00,0.094859634,huaban.com,2021-12-23T02:27:48.404+05:00
