time,power_consumption.power,URL,Opening Time,Sum of sensor readings,count of sensor readings,average of sensor readings
2021-10-26T17:41:11.816+05:00,3.738021645,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:12.318+05:00,1.780184289,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:12.820+05:00,1.036849133,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:13.323+05:00,1.741367363,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:13.824+05:00,6.258000422,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:14.326+05:00,1.69836485,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:14.827+05:00,3.081752515,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:15.328+05:00,4.932435127,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:15.829+05:00,11.40353944,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:16.330+05:00,6.16033985,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:16.831+05:00,5.499282038,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:17.333+05:00,4.835805244,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:17.835+05:00,3.18861276,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:18.336+05:00,4.689059702,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:18.837+05:00,3.449907001,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:19.340+05:00,2.534240778,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:19.842+05:00,2.055030022,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:20.344+05:00,0.267869846,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:20.846+05:00,0.009531454,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
2021-10-26T17:41:21.348+05:00,0.887196038,patria.org.ve,2021-10-26T17:41:10.650+0500,,,-
