time,power_consumption.power,url,starttime
2021-11-14T01:01:31.098+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:31.600+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:32.103+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:32.605+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:33.107+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:33.610+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:34.112+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:34.615+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:35.117+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:35.620+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:36.123+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:36.624+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:37.126+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:37.629+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:38.131+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:38.634+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:39.137+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:39.640+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:40.144+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:40.646+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:41.149+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:41.652+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:42.155+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:42.658+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:43.160+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:43.663+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:44.166+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:44.668+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:45.170+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:45.673+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:46.175+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:46.677+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:47.180+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:47.683+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:48.185+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:48.688+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:49.191+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:49.694+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:50.197+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:50.699+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:51.202+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:51.705+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:52.208+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:52.711+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:53.214+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:53.717+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:54.220+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:54.732+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:55.235+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:55.738+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:56.240+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:56.742+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:57.245+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:57.747+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:58.250+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:58.753+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:59.256+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:01:59.759+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:00.262+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:00.765+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:01.268+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:01.770+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:02.272+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:02.775+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:03.277+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:03.780+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:04.283+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:04.786+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:05.289+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:05.792+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:06.294+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:06.797+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:07.300+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:07.803+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:08.306+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:08.809+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:09.312+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:09.814+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:10.316+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:10.818+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:11.320+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:11.824+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:12.327+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
