_id,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.0.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.0.INSTRUCTIONS_RETIRED,groups.core.0.0.LLC_MISSES,groups.core.0.0.time_enabled,groups.core.0.0.time_running,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.1.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.1.INSTRUCTIONS_RETIRED,groups.core.0.1.LLC_MISSES,groups.core.0.1.time_enabled,groups.core.0.1.time_running,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.2.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.2.INSTRUCTIONS_RETIRED,groups.core.0.2.LLC_MISSES,groups.core.0.2.time_enabled,groups.core.0.2.time_running,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:REF_P,groups.core.0.3.CPU_CLK_THREAD_UNHALTED:THREAD_P,groups.core.0.3.INSTRUCTIONS_RETIRED,groups.core.0.3.LLC_MISSES,groups.core.0.3.time_enabled,groups.core.0.3.time_running,groups.hwpc.0.0.CYCLES,groups.hwpc.0.0.LLC_MISSES,groups.hwpc.0.0.time_enabled,groups.hwpc.0.0.time_running,groups.hwpc.0.1.CYCLES,groups.hwpc.0.1.LLC_MISSES,groups.hwpc.0.1.time_enabled,groups.hwpc.0.1.time_running,groups.hwpc.0.2.CYCLES,groups.hwpc.0.2.LLC_MISSES,groups.hwpc.0.2.time_enabled,groups.hwpc.0.2.time_running,groups.hwpc.0.3.CYCLES,groups.hwpc.0.3.LLC_MISSES,groups.hwpc.0.3.time_enabled,groups.hwpc.0.3.time_running,groups.msr.0.0.APERF,groups.msr.0.0.MPERF,groups.msr.0.0.TSC,groups.msr.0.0.time_enabled,groups.msr.0.0.time_running,groups.msr.0.1.APERF,groups.msr.0.1.MPERF,groups.msr.0.1.TSC,groups.msr.0.1.time_enabled,groups.msr.0.1.time_running,groups.msr.0.2.APERF,groups.msr.0.2.MPERF,groups.msr.0.2.TSC,groups.msr.0.2.time_enabled,groups.msr.0.2.time_running,groups.msr.0.3.APERF,groups.msr.0.3.MPERF,groups.msr.0.3.TSC,groups.msr.0.3.time_enabled,groups.msr.0.3.time_running,groups.rapl.0.3.RAPL_ENERGY_PKG,groups.rapl.0.3.time_enabled,groups.rapl.0.3.time_running,sensor,target,timestamp
61680e025cffb904bc3bc1f6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:22.404Z
61680e025cffb904bc3bc1f7,,,,,,,,,,,,,,,,,,,,,,,,,320537,756,4944751,4944751,2724327,11751,4109041,4109041,1129479,5305,4452721,4452721,1122608,2116,12136317,12136317,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:22.404Z
61680e035cffb904bc3bc1f8,,,,,,,,,,,,,,,,,,,,,,,,,1884975,7024,6120356,6120356,2071289,9979,5503057,5503057,162264,466,4572543,4572543,175457,401,12260446,12260446,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:23.406Z
61680e035cffb904bc3bc1f9,,,,,,,,,,,,,,,,,,,,,,,,,0,0,573250,573250,0,0,149461,149461,0,0,791517,791517,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:23.406Z
61680e035cffb904bc3bc1fa,,,,,,,,,,,,,,,,,,,,,,,,,1387813,26730,10597885,10597885,4083604,54255,42956457,42956457,342571,6350,13253006,13253006,2527884,18422,12430676,12430676,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:23.406Z
61680e035cffb904bc3bc1fb,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:23.406Z
61680e035cffb904bc3bc1fc,11041130,163194451,59827493,1688969,7985157190,7985157190,12508934,195163707,98079137,1669886,8012950249,8012950249,10549224,165967546,65380499,1590678,8012318391,8012318391,9889195,148394755,55393356,1345190,8013094544,8013094544,,,,,,,,,,,,,,,,,149049082,331917567,3297904295,8015407891,8015407891,181795803,381858978,3297920525,8015409955,8015409955,152391367,317405562,3297869367,8015387422,8015387422,135154474,296752385,3297896158,8015393085,8015393085,22008561664,8015408575,8015408575,sensor-test,all,2021-10-14T11:01:23.406Z
61680e045cffb904bc3bc1fd,,,,,,,,,,,,,,,,,,,,,,,,,239428,606,6273006,6273006,2694931,15426,6725271,6725271,1113628,2206,5310004,5310004,1287356,1980,13248526,13248526,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:24.407Z
61680e045cffb904bc3bc1fe,,,,,,,,,,,,,,,,,,,,,,,,,294468,1293,705638,705638,151000,1279,221879,221879,0,0,791517,791517,2123621,14613,657888,657888,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:24.407Z
61680e045cffb904bc3bc1ff,,,,,,,,,,,,,,,,,,,,,,,,,3905977,39967,13434905,13434905,13237316,75231,47562172,47562172,11115017,56773,17059887,17059887,7834241,49126,15373137,15373137,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:24.407Z
61680e045cffb904bc3bc200,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:24.407Z
61680e045cffb904bc3bc201,27226480,748772862,658577775,2741640,8985916281,8985916281,14121621,299148008,190839597,1692414,9013634144,9013634144,20836170,566239673,476447592,2264977,9012979571,9012979571,10338904,219031658,100337983,1279044,9013722931,9013722931,,,,,,,,,,,,,,,,,736452522,872457275,3295718425,9016427674,9016427674,283897024,435536348,3295699520,9016423846,9016423846,553432254,661739946,3295677360,9016392992,9016392992,205812455,316177287,3295713665,9016411863,9016411863,42855038976,9016393530,9016393530,sensor-test,all,2021-10-14T11:01:24.407Z
61680e055cffb904bc3bc202,,,,,,,,,,,,,,,,,,,,,,,,,294440,703,6412142,6412142,4132318,16327,8641372,8641372,528355,1099,5555603,5555603,430886,1248,13442455,13442455,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:25.408Z
61680e055cffb904bc3bc203,,,,,,,,,,,,,,,,,,,,,,,,,3785247,47207,15788284,15788284,3077113,37761,50883743,50883743,972759,17073,17934587,17934587,530163,7303,16016658,16016658,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:25.408Z
61680e055cffb904bc3bc204,,,,,,,,,,,,,,,,,,,,,,,,,24222,320,752724,752724,0,0,221879,221879,0,0,791517,791517,0,0,657888,657888,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/hwpc-sensor,2021-10-14T11:01:25.408Z
61680e055cffb904bc3bc205,10337956,187541335,84222263,1521871,9986761405,9986761405,9793741,172458607,88504015,1199935,10014701235,10014701235,7867589,151262870,67751731,904488,10014009107,10014009107,11523761,233785473,143779943,1385853,10014742705,10014742705,,,,,,,,,,,,,,,,,176565088,318623292,3296537235,10017695231,10017695231,161326870,301548075,3296563514,10017698553,10017698553,140832090,238069508,3296595584,10017676612,10017676612,224618049,361190303,3296444386,10017650175,10017650175,25786843136,10017671754,10017671754,sensor-test,all,2021-10-14T11:01:25.408Z
61680e055cffb904bc3bc206,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,/formula,2021-10-14T11:01:25.408Z
61680e065cffb904bc3bc207,,,,,,,,,,,,,,,,,,,,,,,,,293334,795,6587075,6587075,3923218,16547,11126873,11126873,777207,1459,5980932,5980932,250631,610,13588540,13588540,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,powerapi-sensor,2021-10-14T11:01:26.410Z
61680e065cffb904bc3bc208,,,,,,,,,,,,,,,,,,,,,,,,,3632522,38222,18592704,18592704,3083291,34361,53801723,53801723,979427,22123,18933755,18933755,804579,10177,17038077,17038077,,,,,,,,,,,,,,,,,,,,,,,,sensor-test,system,2021-10-14T11:01:26.410Z
