reading_time,power_watts,url,url_opening_time,SUM,COUNT,AVG
2021-11-24T01:03:18.188+05:00,19.00885343,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:18.690+05:00,18.63209446,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:19.190+05:00,23.71603603,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:19.691+05:00,22.85653368,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:20.192+05:00,19.50581813,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:20.696+05:00,20.65174031,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:21.197+05:00,19.91973868,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:21.698+05:00,19.85535289,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:22.199+05:00,21.60246434,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:22.700+05:00,23.35453696,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:23.201+05:00,20.00523419,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:24.203+05:00,24.65524698,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:24.704+05:00,20.31963195,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:25.205+05:00,22.95308073,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:25.706+05:00,20.22292507,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:26.207+05:00,20.54400479,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:26.708+05:00,20.81432624,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:27.209+05:00,23.42157109,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:27.710+05:00,20.00651377,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:28.212+05:00,20.87834883,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:28.713+05:00,18.74853602,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:29.214+05:00,23.24138267,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:29.715+05:00,23.19781298,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:30.216+05:00,20.00691787,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:30.717+05:00,19.84639868,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:31.218+05:00,22.2586837,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:31.719+05:00,20.35903483,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:32.220+05:00,23.10823678,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:32.721+05:00,18.70493919,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:33.222+05:00,21.14916195,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:33.723+05:00,18.48171687,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:34.223+05:00,21.10022386,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:34.724+05:00,20.84392451,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:35.225+05:00,19.84097306,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
